head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,cotejo_fuente,cotejo_nota
23,夷,Holgura,8,次八,夷其角,獨樂款款淫其内也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
23,夷,Holgura,9,上九,夷其耇利敬病年貞,夷耇之貞懸事向也,wikisource_provisional,,
24,樂,Gozo,1,初一,獨樂款款及不逺,獨樂款款淫其内也,kanripo,,
24,樂,Gozo,2,次二,樂不知辰于天,樂不可知以時歳也,kanripo,,
24,樂,Gozo,3,次三,不宴不雅禮樂啞咋號咷倚戸○,不宴不雅禮樂廢也,kanripo,,
24,樂,Gozo,4,次四,拂其繫絶其纗佚厥心,拂其繫絶纗心誠快也,kanripo,,
24,樂,Gozo,5,次五,鍾鼓喈喈管絃嚌嚌或承之衰,鍾鼓喈喈樂後悲也也,kanripo,,
24,樂,Gozo,6,次六,大樂無間民神禽鳥之般,大樂無間無不懷也,kanripo,,
24,樂,Gozo,7,次七,人嘻鬼嘻天要之期,人嘻鬼嘻稱樂畢也,kanripo,,
24,樂,Gozo,8,次八,嘻嘻自懼亡彼愆虞,嘻嘻自懼終自保也,kanripo,,
24,樂,Gozo,9,上九,極樂之幾不移日而悲則哭泣之蹉資曰赫河之臞何可蹉也,極樂之幾信可悔也○,kanripo,SimaGuang_集注太玄經,測 de Sima Guang; carácter ilegible □ resuelto como 蹉 (哭泣之蹉資)
25,爭,Disputa,1,初一,爭不爭隱冥,爭不爭道之素也,wikisource_provisional,,
25,爭,Disputa,2,次二,嚇河臞,嚇河之臞何可個也,wikisource_provisional,,
25,爭,Disputa,3,次三,爭射齦齦,爭射誾誾君子讓鄰也,kanripo,,
25,爭,Disputa,4,次四,爭小利不酋貞,小利不絶正道乃昬也,kanripo,,
25,爭,Disputa,5,次五,爭于逵利以無方,爭于逵爭處中也,kanripo,,
25,爭,Disputa,6,次六,臂膊脛如股脚䐜如維身之疾,臂脛如股臣大隆也,kanripo,,
25,爭,Disputa,7,次七,爭干及矛䩜用亨于王前行,干矛之爭衞君躬也,kanripo,,
25,爭,Disputa,8,次八,狼盈口矢在其後,狼盈口不顧害也測曰始務無方非小人所理也,kanripo,,
25,爭,Disputa,9,上九,兩虎相牙知掣者全,兩虎相牙知所掣也,wikisource_provisional,,
26,務,Empeño,1,初一,始務無方小人亦用罔,始務旡方非小人所理也,wikisource_provisional,,
26,務,Empeño,2,次二,新鮮自求珍絜精其芳君子攸行,新鮮自求光于已也,kanripo,,
26,務,Empeño,3,次三,不拘不掣其心腐且敗,不拘不掣其體不全也,kanripo,,
26,務,Empeño,4,次四,見矢自升利羽之朋蓋戴車載,矢及蓋厥道然也,kanripo,,
26,務,Empeño,5,次五,蜘蛛之務不如𧖟之緰,蜘蛛之務無益人也,kanripo,,
26,務,Empeño,6,次六,華實芳若用則臧若,華芳用臧利當年也,kanripo,,
26,務,Empeño,7,次七,喪其芳無攸往,喪其芳德以衰也,kanripo,,
26,務,Empeño,8,次八,黃中免于禍貞,黃中免禍和以正也,kanripo,,
26,務,Empeño,9,上九,務成自敗雨成自隊,務成自敗非厥命也,kanripo,,
27,事,Deberes,1,初一,事無事至無不事,事無事以道行也,wikisource_provisional,,
27,事,Deberes,2,次二,事在樞不咎不𧩻喪其哲符,不咨不𧩻其知亡也,wikisource_provisional,,
27,事,Deberes,3,次三,時往時來間不容氂,時往時來不失趣也,kanripo,,
27,事,Deberes,4,次四,男女事不代之字,男女事非厥務也,kanripo,,
27,事,Deberes,5,次五,事其事王假之食,事其事職所任也,kanripo,,
27,事,Deberes,6,次六,任大自事方來不救,任大自事奚可堪也,kanripo,,
27,事,Deberes,7,次七,丈人扶孤竪子提壷,丈人扶孤小子知方也,kanripo,,
27,事,Deberes,8,次八,男女事十年不誨,男女事終家不亨也,kanripo,,
27,事,Deberes,9,上九,到耳順止事貞,到耳順止逆聞順行也太玄經卷第二,kanripo,,
28,更,Cambio,1,初一,冥化否貞若性,冥化否貞少更方也,wikisource_provisional,,
28,更,Cambio,2,次二,時七時九軫轉其道,時七時九不失當也,wikisource_provisional,,
28,更,Cambio,3,次三,化白于泥淄,化白于泥變不明也,kanripo,,
28,更,Cambio,4,次四,更之小得用無不利,更之小得民所望也,kanripo,,
28,更,Cambio,5,次五,童牛角馬不今不古,童牛角馬變天常也,kanripo,,
28,更,Cambio,6,次六,入水載車出水載杭冝于王之更,車杭出入其道更也,kanripo,,
28,更,Cambio,7,次七,更不更以作病,更不更能自臧也,kanripo,,
28,更,Cambio,8,次八,駟馬跙跙而更其御,斷心滅斧内自治也,kanripo,,
28,更,Cambio,9,上九,不終其德三歲見代,不終之儀不可久長也,wikisource_provisional,,
29,斷,Decisión,1,初一,斷心滅斧冥其規矩,斷心滅斧內自治也,wikisource_provisional,,
29,斷,Decisión,2,次二,冥斷否在塞耳,冥斷否中心疑也,kanripo,,
29,斷,Decisión,3,次三,決其聾𪖣利以治穢,決其聾𪖣利有謀也,kanripo,ctext_太玄經,"□ = 𪖣 (carácter raro), verificado en ctext"
29,斷,Decisión,4,次四,斷我否食非其有恥,斷我否食可恥也,kanripo,,
29,斷,Decisión,5,次五,大腹決其股脫君子有斷小人以活,太腹決脫斷得理也,kanripo,,
29,斷,Decisión,6,次六,決不決爾仇不闊乃後有鉞,決不決辜及身也,kanripo,,
29,斷,Decisión,7,次七,庚斷甲我心孔碩乃後有鑠,庚斷甲義斷仁也,kanripo,,
29,斷,Decisión,8,次八,勇佅之傠盜蒙決夬,盜蒙之決妄斷也,kanripo,,
29,斷,Decisión,9,上九,斧刄蛾蛾利匠人之貞于心腹内堅剛也,戴威滿頭小人所長也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
30,毅,Resolución Audaz,1,初一,懷威滿虛,懷威滿虛道德亡也,wikisource_provisional,,
30,毅,Resolución Audaz,2,次二,毅于心腹貞,毅于心腹內堅剛也,wikisource_provisional,,
30,毅,Resolución Audaz,3,次三,戴威满頭君子不足小人有餘,戴威滿頭小人所長也,kanripo,,
30,毅,Resolución Audaz,4,次四,君子說器其人柔且毅,君子說器言有方也,kanripo,,
30,毅,Resolución Audaz,5,次五,不田而榖毅于揀禄,不田而榖食不當也,kanripo,,
30,毅,Resolución Audaz,6,次六,毅于棟柱利安大主,毅于棟柱國任彊也,kanripo,,
30,毅,Resolución Audaz,7,次七,觥羊之毅鳴不類,觥羊之毅言不法也,kanripo,,
30,毅,Resolución Audaz,8,次八,毅于禍貞君子攸名,毅于禍貞不可幽蔀也測曰幽裝莫見心巳外也,kanripo,,
30,毅,Resolución Audaz,9,上九,豕希毅其牙發以張弧,豕希毅其牙吏所獵也,wikisource_provisional,,
